vcp=aMSa, skd=aMSa
vcp=aMsa, skd=aMsa
vcp=aMha, skd=?
vcp=aka, skd=aka
vcp=akza, skd=akza
vcp=aga, skd=aga
vcp=agada, skd=?
vcp=aGa, skd=aGa
vcp=aNka, skd=aNka
vcp=aNga, skd=aNga
vcp=aca, skd=aca
vcp=aja, skd=aja
vcp=awa, skd=?
vcp=awwa, skd=awwa
vcp=aWa, skd=aWa
vcp=aqa, skd=aqa
vcp=aqqa, skd=aqqa
vcp=aRa, skd=aRa
vcp=ata, skd=ata
vcp=?, skd=atwaNa
vcp=ada, skd=ada
vcp=?, skd=adwaNa
vcp=?, skd=adqa
vcp=ana, skd=ana
vcp=anca, skd=anca
vcp=ancu, skd=?
vcp=anja, skd=anja
vcp=andola, skd=?
vcp=anDa, skd=?
vcp=aba, skd=aba
vcp=?, skd=aBa
vcp=aBra, skd=aBra
vcp=ama, skd=ama
vcp=amba, skd=amba
vcp=ambara, skd=?
vcp=amBa, skd=?
vcp=aya, skd=aya
vcp=arka, skd=arka
vcp=arGa, skd=arGa
vcp=arca, skd=arcca *
vcp=arja, skd=arjja *
vcp=arjja, skd=?
vcp=arTa, skd=arTa
vcp=ardda, skd=arda *
vcp=arba, skd=arbba *
vcp=arha, skd=arha
vcp=ala, skd=ala
vcp=avaDIra, skd=avaDIra
vcp=avara, skd=?
vcp=aSa, skd=aSa
vcp=aza, skd=aza
vcp=asa, skd=asa
vcp=asu, skd=asu
vcp=aha, skd=aha
vcp=ACa, skd=ACa
vcp=Andola, skd=Andola
vcp=Apa, skd=Apa
vcp=Asa, skd=Asa
vcp=i, skd=i
vcp=iKa, skd=iKa
vcp=iga, skd=iga
vcp=iN, skd=?
vcp=iwa, skd=iwa
vcp=ida, skd=ida
vcp=ina, skd=?
vcp=inDa, skd=inDa
vcp=inva, skd=?
vcp=ila, skd=ila
vcp=iva, skd=iva
vcp=iza, skd=iza
vcp=izuDa, skd=?
vcp=I, skd=I
vcp=Ikza, skd=?
vcp=IKa, skd=IKa
vcp=?, skd=Ikza
vcp=Iga, skd=?
vcp=Ija, skd=Ija
vcp=Iqa, skd=Iqa
vcp=Ira, skd=Ira
vcp=Irkzya, skd=Irkzya
vcp=Irzya, skd=Irzya
vcp=IS, skd=ISa *
vcp=Iza, skd=Iza
vcp=Iha, skd=Iha
vcp=u, skd=u
vcp=ukza, skd=ukza
vcp=uKa, skd=uKa
vcp=uca, skd=uca
vcp=uCa, skd=ucCa *
vcp=ujJa, skd=ujJa
vcp=uWa, skd=uWa
vcp=uqa, skd=uqa
vcp=udapa, skd=udapa
vcp=?, skd=udJa
vcp=uDrasa, skd=uDrasa
vcp=unda, skd=unda
vcp=ubja, skd=ubja
vcp=uBa, skd=uBa
vcp=?, skd=umBa
vcp=ura, skd=ura
vcp=uras, skd=?
vcp=uruzya, skd=?
vcp=urja, skd=?
vcp=urdda, skd=?
vcp=urva, skd=urvva *
vcp=ula, skd=ula
vcp=ulaqa, skd=?
vcp=uza, skd=uza
vcp=uzas, skd=?
vcp=uha, skd=uha
vcp=Una, skd=Una
vcp=Uya, skd=Uya
vcp=Urjja, skd=Urjja
vcp=UrRRu, skd=UrRu *
vcp=Uza, skd=Uza
vcp=Uha, skd=Uha
vcp=f, skd=f
vcp=?, skd=fkza
vcp=fc, skd=fca *
vcp=fcCa, skd=fcCa
vcp=fja, skd=fja
vcp=fRa, skd=fRa
vcp=fta, skd=fta
vcp=fDa, skd=fDa
vcp=fnPa, skd=?
vcp=fPa, skd=fPa
vcp=fSa, skd=fSa
vcp=fza, skd=fza
vcp=F, skd=F
vcp=eja, skd=eja
vcp=eWa, skd=eWa
vcp=eDa, skd=eDa
vcp=elA, skd=elA
vcp=ez, skd=eza *
vcp=oKa, skd=oKa
vcp=oja, skd=oja
vcp=oRa, skd=oRa
vcp=olaja, skd=olaja
vcp=olaqa, skd=olaqa
vcp=kaka, skd=kaka
vcp=kakka, skd=kakka
vcp=kakKa, skd=kakKa
vcp=kaKa, skd=kaKa
vcp=kaga, skd=kaga
vcp=kaca, skd=kaca
vcp=kaja, skd=kaja
vcp=kawa, skd=kawa
vcp=kaWa, skd=kaWa
vcp=kaqa, skd=kaqa
vcp=kaqqa, skd=kaqqa
vcp=kaRa, skd=kaRa
vcp=kaRqU, skd=?
vcp=katTa, skd=katTa
vcp=katra, skd=katra
vcp=kaTa, skd=kaTa
vcp=kada, skd=kada
vcp=kadqa, skd=kadqa
vcp=kana, skd=kana
vcp=kapa, skd=kapa
vcp=kaba, skd=kaba
vcp=kama, skd=kama
vcp=kamba, skd=kamba
vcp=karka, skd=karka
vcp=?, skd=karjja
vcp=karRRa, skd=karR *
vcp=kartta, skd=kartta
vcp=karttra, skd=kartra *
