vcp=अंश,4 skd=अंश,5
vcp=अंस,24 skd=अंस,21
vcp=अंह,32 skd=?
vcp=अक,41 skd=अक,32;अक,33;अक,34
vcp=अक्ष,113 skd=अक्ष,103;अक्ष,104
vcp=अग,210 skd=अग,180;अग,181
vcp=अगद,217 skd=?
vcp=अघ,437 skd=अघ,313;अघ,314
vcp=अङ्क,462 skd=अङ्क,325
vcp=अङ्ग,499 skd=अङ्ग,348
vcp=अच,604;अच,605;अच,606 skd=अच,432;अच,433;अच,434
vcp=अज,664;अज,665 skd=अज,460;अज,461
vcp=अट,784;अट,785 skd=?
vcp=अट्ट,791;अट्ट,792 skd=अट्ट,565
vcp=अठ,804;अठ,805 skd=अठ,578;अठ,579
vcp=अड,806;अड,807 skd=अड,580;अड,581
vcp=अड्ड,808 skd=अड्ड,582
vcp=अण,809;अण,810 skd=अण,583;अण,584
vcp=अत,834;अत,835;अत,836 skd=अत,607;अत,608;अत,609
vcp=? skd=अत्टङ,706
vcp=अद,1112;अद,1113 skd=अद,751;अद,752
vcp=? skd=अद्टङ,774
vcp=? skd=अद्ड,775
vcp=अन,1455;अन,1456 skd=अन,926;अन,927
vcp=अन्च,2184 skd=अन्च,1215;अन्च,1216
vcp=अन्चु,2185 skd=?
vcp=अन्ज,2186 skd=अन्ज,1217
vcp=अन्दोल,2361 skd=?
vcp=अन्ध,2362 skd=?
vcp=अब,3136 skd=अब,1597
vcp=अभ्र,3722 skd=अभ्र,1803
vcp=अम,3749;अम,3750 skd=अम,1827;अम,1828
vcp=अम्ब,3918 skd=अम्ब,1917
vcp=अम्बर,3923 skd=?
vcp=अम्भ,3980 skd=अभ,1638 (*)
vcp=अय,4043 skd=अय,2024
vcp=अर्क,4333 skd=अर्क,2149
vcp=अर्घ,4368 skd=अर्घ,2179
vcp=अर्च,4372;अर्च,4373 skd=अर्च्च,2184;अर्च्च,2185 (*)
vcp=अर्ज,4388 skd=?
vcp=अर्ज्ज,4389 skd=अर्ज्ज,2195;अर्ज्ज,2196
vcp=अर्थ,4412 skd=अर्थ,2217
vcp=अर्द्द,4467;अर्द्द,4468;अर्द्द,4469 skd=अर्द,2233;अर्द,2234;अर्द,2235 (*)
vcp=अर्ब,4545 skd=अर्ब्ब,2269 (*)
vcp=अर्ह,4578;अर्ह,4579 skd=अर्ह,2294;अर्ह,2295
vcp=अल,4589 skd=अल,2303
vcp=अवधीर,4852 skd=अवधीर,2466
vcp=अवर,4939 skd=?
vcp=अश,5367 skd=अश,2726;अश,2727
vcp=अष,5610 skd=अष,2872
vcp=अस,5694;अस,5695;अस,5696 skd=अस,2906
vcp=असु,5899 skd=असु,2986
vcp=अह,6090;अह,6091;अह,6092 skd=अह,3093;अह,3094
vcp=आछ,6502 skd=आछ,3301
vcp=आन्दोल,7014 skd=आन्दोल,3499
vcp=आप,7029 skd=आप,3505
vcp=आस,7853 skd=आस,3912
vcp=इ,8054 skd=इ,4015;इ,4016;इ,4017
vcp=इख,8097;इख,8098 skd=इख,4054;इख,4055
vcp=इग,8099 skd=इग,4056
vcp=इङ्,8100 skd=?
vcp=इट,8121 skd=इट,4074
vcp=इद,8164 skd=इद,4100
vcp=इन,8180 skd=?
vcp=इन्ध,8335 skd=इन्ध,4194
vcp=इन्व,8339 skd=?
vcp=इल,8388;इल,8389 skd=इल,4224;इल,4225
vcp=इव,8400 skd=इव,4237
vcp=इष,8403;इष,8404;इष,8405;इष,8406 skd=इष,4240;इष,4241;इष,4242
vcp=इषुध,8419 skd=?
vcp=ई,8486;ई,8487;ई,8488 skd=ई,4274;ई,4275
vcp=ईक्ष,8489 skd=ईक्ष,4280
vcp=ईख,8495 skd=ईख,4279
vcp=ईग,8496 skd=?
vcp=ईज,8497;ईज,8498 skd=ईज,4283;ईज,4284
vcp=ईड,8500 skd=ईड,4285;ईड,4286
vcp=ईर,8515 skd=ईर,4294;ईर,4295
vcp=ईर्क्ष्य,8521 skd=ईर्क्ष्य,4299
vcp=ईर्ष्य,8528 skd=ईर्ष्य,4305
vcp=ईश्,8538 skd=ईश,4312 (*)
vcp=ईष,8558;ईष,8559 skd=ईष,4329;ईष,4330
vcp=ईह,8571 skd=ईह,4343
vcp=उ,8576 skd=उ,4348
vcp=उक्ष,8598 skd=उक्ष,4358
vcp=उख,8605;उख,8606 skd=उख,4362;उख,4363
vcp=उच,8633 skd=उच,4384
vcp=उछ,8703;उछ,8704 skd=उच्छ,4406;उच्छ,4407 (*)
vcp=उज्झ,8722 skd=उद्झ,4713;उज्झ,4431 (*)
vcp=उठ,8729 skd=उठ,4441
vcp=उड,8730 skd=उड,4442
vcp=उदप,9095 skd=उदप,4642
vcp=उध्रस,9353;उध्रस,9354 skd=उध्रस,4811;उध्रस,4812
vcp=उन्द,9355 skd=उन्द,4813
vcp=उब्ज,10001 skd=उब्ज,5103
vcp=उभ,10003 skd=उभ,5104
vcp=? skd=उम्भ,5120
vcp=उर,10027 skd=उर,5122
vcp=उरस्,10045 skd=?
vcp=उरुष्य,10073 skd=?
vcp=उर्ज,10081 skd=?
vcp=उर्द्द,10084 skd=?
vcp=उर्व,10086 skd=उर्व्व,5163 (*)
vcp=उल,10103 skd=उल,5171
vcp=उलड,10105 skd=?
vcp=उष,10161;उष,10162 skd=उष,5211;उष,5212
vcp=उषस्,10163 skd=?
vcp=उह,10223 skd=उह,5262
vcp=ऊन,10240 skd=ऊन,5274
vcp=ऊय,10247 skd=ऊय,5280
vcp=ऊर्ज्ज,10258 skd=ऊर्ज्ज,5291
vcp=ऊर्ण्णु,10274 skd=ऊर्णु,5301 (*)
vcp=ऊष,10344 skd=ऊष,5333
vcp=ऊह,10356 skd=ऊह,5343
vcp=ऋ,10364;ऋ,10365;ऋ,10366 skd=ऋ,5346;ऋ,5347;ऋ,5348;ऋ,5350
vcp=? skd=ऋक्ष,5354
vcp=ऋच्,10395 skd=ऋच,5363 (*)
vcp=ऋच्छ,10403 skd=ऋच्छ,5365
vcp=ऋज,10405;ऋज,10406 skd=ऋज,5367;ऋज,5368
vcp=ऋण,10423 skd=ऋण,5374
vcp=ऋत,10441 skd=ऋत,5385
vcp=ऋध,10509 skd=ऋध,5404
vcp=ऋन्फ,10512 skd=?
vcp=ऋफ,10513 skd=ऋफ,5405
vcp=ऋश,10520 skd=ऋश,5410
vcp=ऋष,10524 skd=ऋष,5412
vcp=ॠ,10573 skd=ॠ,5431
vcp=एज,10768;एज,10769 skd=एज,5527;एज,5528
vcp=एठ,10774 skd=एठ,5529
vcp=एध,10793 skd=एध,5550
vcp=एला,10813 skd=एला,5571
vcp=एष्,10831 skd=एष,5577 (*)
vcp=ओख,10941 skd=ओख,5638
vcp=ओज,10948 skd=ओज,5642
vcp=ओण,10959 skd=ओण,5650
vcp=ओलज,10973 skd=ओलज,5660
vcp=ओलड,10974 skd=ओलड,5661
vcp=कक,11229;कक,11230 skd=कक,5755;कक,5756
vcp=कक्क,11253 skd=कक्क,5770
vcp=कक्ख,11258 skd=कक्ख,5773
vcp=कख,11282 skd=कख,5786
vcp=कग,11284 skd=कग,5788
vcp=कच,11318;कच,11319;कच,11320 skd=कच,5825;कच,5826;कच,5827
vcp=कज,11359 skd=कज,5865
vcp=कट,11383;कट,11384;कट,11385;कट,11386 skd=कट,5891;कट,5892;कट,5893
vcp=कठ,11477;कठ,11478;कठ,11479 skd=कठ,5983;कठ,5984;कठ,5985
vcp=कड,11495;कड,11496;कड,11497 skd=कड,6004;कड,6005;कड,6006
vcp=कड्ड,11508 skd=कड्ड,6016
vcp=कण,11509;कण,11510;कण,11511 skd=कण,6017;कण,6018;कण,6019
vcp=कण्डू,11601 skd=?
vcp=कत्थ,11630 skd=कत्थ,6126
vcp=कत्र,11632 skd=कत्र,6127
